################################################################################################################################################
# ANALYSIS PARAMETERS
# ===================
# analysis at: 2016-10-05 17:12:30
#     dataset: AZI
# ref ms file: /ida/cal/raw/kapi/APSurvey/2016-0905/STN01_centaur-3_0829_20160905_005452.seed
#  start time: 2016-09-05T13:20:20.000000Z
#    end time: 2016-09-05T21:00:00.000000Z
#    seg size: 1024 secs
#    seg trim: 128 secs
#  coh cutoff: 0.98
# analysis sr: 5 hz
# analysis bp: [0.1, 0.3] hz
#     station: KAPI
#  pri sensor: True
#   pri chans: bhz,bh1,bh2
#     pri loc: 00
#  sec sensor: True
#   sec chans: bhz,bh1,bh2
#     sec loc: 10
#
KAPI REF/PRI 1: 2016-09-05T19:01:40.050000Z (1473102100.050000) amp: 0.8241; ang:  89.404; lrms: 1.364; var: 0.402; coh: 0.9156 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T19:18:44.050000Z (1473103124.050000) amp: 0.9466; ang:  96.192; lrms: 1.308; var: 0.298; coh: 0.9547 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T19:35:48.050000Z (1473104148.050000) amp: 1.0060; ang:  99.513; lrms: 1.408; var: 0.235; coh: 0.9719 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T19:52:52.050000Z (1473105172.050000) amp: 0.9948; ang:  98.558; lrms: 1.383; var: 0.173; coh: 0.9849 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T20:09:56.050000Z (1473106196.050000) amp: 0.9308; ang:  95.374; lrms: 1.298; var: 0.341; coh: 0.9402 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T20:27:00.050000Z (1473107220.050000) amp: 0.9743; ang:  96.432; lrms: 1.305; var: 0.273; coh: 0.9620 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T13:20:20.050000Z (1473081620.050000) amp: 1.0291; ang: 189.436; lrms: 1.362; var: 0.153; coh: 0.9882 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T13:37:24.050000Z (1473082644.050000) amp: 1.0341; ang: 190.408; lrms: 1.392; var: 0.178; coh: 0.9841 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T13:54:28.050000Z (1473083668.050000) amp: 1.0405; ang: 189.974; lrms: 1.362; var: 0.145; coh: 0.9894 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T14:11:32.050000Z (1473084692.050000) amp: 1.0212; ang: 191.033; lrms: 1.318; var: 0.192; coh: 0.9814 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T14:28:36.050000Z (1473085716.050000) amp: 1.0297; ang: 189.940; lrms: 1.406; var: 0.158; coh: 0.9874 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T14:45:40.050000Z (1473086740.050000) amp: 1.0136; ang: 191.793; lrms: 1.261; var: 0.199; coh: 0.9800 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T15:02:44.050000Z (1473087764.050000) amp: 1.0550; ang: 191.361; lrms: 1.286; var: 0.181; coh: 0.9834 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T15:19:48.050000Z (1473088788.050000) amp: 1.0701; ang: 190.567; lrms: 1.533; var: 0.138; coh: 0.9905 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T15:36:52.050000Z (1473089812.050000) amp: 1.0600; ang: 189.915; lrms: 1.442; var: 0.159; coh: 0.9873 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T15:53:56.050000Z (1473090836.050000) amp: 1.0359; ang: 189.941; lrms: 1.338; var: 0.145; coh: 0.9894 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T16:11:00.050000Z (1473091860.050000) amp: 1.0236; ang: 191.082; lrms: 1.384; var: 0.143; coh: 0.9898 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T16:28:04.050000Z (1473092884.050000) amp: 1.0552; ang: 191.191; lrms: 1.371; var: 0.167; coh: 0.9859 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T16:45:08.050000Z (1473093908.050000) amp: 1.0386; ang: 190.085; lrms: 1.348; var: 0.147; coh: 0.9891 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T17:02:12.050000Z (1473094932.050000) amp: 1.0302; ang: 189.955; lrms: 1.341; var: 0.145; coh: 0.9894 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T17:19:16.050000Z (1473095956.050000) amp: 1.0513; ang: 190.238; lrms: 1.376; var: 0.137; coh: 0.9906 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T17:36:20.050000Z (1473096980.050000) amp: 1.0170; ang: 191.104; lrms: 1.274; var: 0.205; coh: 0.9788 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T17:53:24.050000Z (1473098004.050000) amp: 1.0545; ang: 191.687; lrms: 1.338; var: 0.167; coh: 0.9859 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T18:10:28.050000Z (1473099028.050000) amp: 1.0371; ang: 192.424; lrms: 1.303; var: 0.147; coh: 0.9891 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T18:27:32.050000Z (1473100052.050000) amp: 1.0327; ang: 191.287; lrms: 1.322; var: 0.174; coh: 0.9848 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T18:44:36.050000Z (1473101076.050000) amp: 1.0406; ang: 190.801; lrms: 1.318; var: 0.189; coh: 0.9819 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T19:01:40.050000Z (1473102100.050000) amp: 0.9903; ang: 196.374; lrms: 1.303; var: 0.256; coh: 0.9668 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T19:18:44.050000Z (1473103124.050000) amp: 1.0213; ang: 192.805; lrms: 1.377; var: 0.166; coh: 0.9861 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T19:35:48.050000Z (1473104148.050000) amp: 1.0469; ang: 190.270; lrms: 1.364; var: 0.167; coh: 0.9860 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T19:52:52.050000Z (1473105172.050000) amp: 1.0720; ang: 192.600; lrms: 1.370; var: 0.144; coh: 0.9896 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T20:09:56.050000Z (1473106196.050000) amp: 1.0179; ang: 192.469; lrms: 1.310; var: 0.170; coh: 0.9854 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 2: 2016-09-05T20:27:00.050000Z (1473107220.050000) amp: 1.0549; ang: 191.508; lrms: 1.318; var: 0.179; coh: 0.9838 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/SEC Z: 2016-09-05T13:20:20.000000Z (1473081620.000000) amp: 1.0141; ang:   0.000; lrms: 1.423; var: 0.034; coh: 0.9994 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_10_azi.ms
KAPI REF/SEC Z: 2016-09-05T13:37:24.000000Z (1473082644.000000) amp: 1.0071; ang:   0.000; lrms: 1.460; var: 0.038; coh: 0.9993 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_10_azi.ms
KAPI REF/SEC Z: 2016-09-05T13:54:28.000000Z (1473083668.000000) amp: 1.0059; ang:   0.000; lrms: 1.459; var: 0.034; coh: 0.9994 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_10_azi.ms
KAPI REF/SEC Z: 2016-09-05T14:11:32.000000Z (1473084692.000000) amp: 1.0083; ang:   0.000; lrms: 1.434; var: 0.039; coh: 0.9993 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_10_azi.ms
KAPI REF/SEC Z: 2016-09-05T14:28:36.000000Z (1473085716.000000) amp: 1.0119; ang:   0.000; lrms: 1.432; var: 0.035; coh: 0.9994 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_10_azi.ms
